array_length,n_threads,insertion_sort_threshold,elapsed_time
1000,1,0,0.000919
1000000,1,0,0.159214
1000000000,1,0,350.264374
1000,2,0,0.002119
1000000,2,0,0.486212
1000000000,2,0,508.572611
1000,4,0,0.001992
1000000,4,0,0.637630
1000000000,4,0,629.574387
1000,8,0,0.002518
1000000,8,0,0.850250
1000000000,8,0,1121.369858
1000,1,10,0.001272
1000000,1,10,0.083824
1000000000,1,10,94.377691
1000,2,10,0.001076
1000000,2,10,0.182156
1000000000,2,10,132.131059
1000,4,10,0.001552
1000000,4,10,0.137476
1000000000,4,10,158.766077
1000,8,10,0.001801
1000000,8,10,0.222060
1000000000,8,10,294.631561
1000,1,100,0.000995
1000000,1,100,0.045290
1000000000,1,100,61.203931
1000,2,100,0.000884
1000000,2,100,0.032252
1000000000,2,100,43.644249
1000,4,100,0.001095
1000000,4,100,0.028893
1000000000,4,100,39.495685
1000,8,100,0.001220
1000000,8,100,0.040796
1000000000,8,100,54.299191
1000,1,0,0.001336
1000000,1,0,0.191038
1000000000,1,0,354.652119
1000,2,0,0.001692
1000000,2,0,0.495279
1000000000,2,0,513.668640
1000,4,0,0.003002
1000000,4,0,0.584229
1000000000,4,0,631.431758
1000,8,0,0.002548
1000000,8,0,0.862336
1000000000,8,0,1128.290765
1000,1,10,0.001550
1000000,1,10,0.102779
1000000000,1,10,91.642869
1000,2,10,0.001069
1000000,2,10,0.120136
1000000000,2,10,135.959288
1000,4,10,0.001071
1000000,4,10,0.162171
1000000000,4,10,156.005039
1000,8,10,0.001677
1000000,8,10,0.228095
1000000000,8,10,297.145788
1000,1,100,0.001070
1000000,1,100,0.042849
1000000000,1,100,59.974845
1000,2,100,0.001076
1000000,2,100,0.030418
1000000000,2,100,43.994766
1000,4,100,0.001316
1000000,4,100,0.036998
1000000000,4,100,41.442565
1000,8,100,0.001737
1000000,8,100,0.044472
1000000000,8,100,54.556844
1000,1,0,0.001058
1000000,1,0,0.227820
1000000000,1,0,347.958293
1000,2,0,0.004484
1000000,2,0,0.502682
1000000000,2,0,509.187046
1000,4,0,0.002907
1000000,4,0,0.551802
1000000000,4,0,624.028625
1000,8,0,0.003248
1000000,8,0,0.827491
1000000000,8,0,1125.715316
1000,1,10,0.001163
1000000,1,10,0.092812
1000000000,1,10,90.958463
1000,2,10,0.001029
1000000,2,10,0.132466
1000000000,2,10,133.076589
1000,4,10,0.001305
1000000,4,10,0.165679
1000000000,4,10,158.436730
1000,8,10,0.002027
1000000,8,10,0.220486
1000000000,8,10,302.395244
1000,1,100,0.000859
1000000,1,100,0.042549
1000000000,1,100,58.031616
1000,2,100,0.000972
1000000,2,100,0.031466
1000000000,2,100,43.523436
1000,4,100,0.001101
1000000,4,100,0.029540
1000000000,4,100,39.389975
1000,8,100,0.001396
1000000,8,100,0.045800
1000000000,8,100,55.272853
1000,1,0,0.001077
1000000,1,0,0.169352
1000000000,1,0,350.775934
1000,2,0,0.002271
1000000,2,0,0.445642
1000000000,2,0,501.604100
1000,4,0,0.001648
1000000,4,0,0.618115
1000000000,4,0,621.220925
1000,8,0,0.004197
1000000,8,0,0.871325
1000000000,8,0,1132.258799
1000,1,10,0.001427
1000000,1,10,0.094127
1000000000,1,10,90.790572
1000,2,10,0.001200
1000000,2,10,0.125389
1000000000,2,10,128.055470
1000,4,10,0.001085
1000000,4,10,0.143024
1000000000,4,10,152.594776
1000,8,10,0.001476
1000000,8,10,0.199305
1000000000,8,10,304.979711
1000,1,100,0.001018
1000000,1,100,0.041432
1000000000,1,100,57.831282
1000,2,100,0.000995
1000000,2,100,0.028534
1000000000,2,100,43.564683
1000,4,100,0.001025
1000000,4,100,0.029525
1000000000,4,100,39.011476
1000,8,100,0.001643
1000000,8,100,0.040883
1000000000,8,100,54.760038
1000,1,0,0.001089
1000000,1,0,0.198141
1000000000,1,0,360.146928
1000,2,0,0.003153
1000000,2,0,0.470248
1000000000,2,0,506.987160
1000,4,0,0.001896
1000000,4,0,0.558444
1000000000,4,0,635.285562
1000,8,0,0.001825
1000000,8,0,0.787033
1000000000,8,0,1141.371441
1000,1,10,0.001346
1000000,1,10,0.083600
1000000000,1,10,93.914917
1000,2,10,0.001053
1000000,2,10,0.142230
1000000000,2,10,128.621514
1000,4,10,0.001627
1000000,4,10,0.183908
1000000000,4,10,151.601256
1000,8,10,0.001729
1000000,8,10,0.209649
1000000000,8,10,299.047953
1000,1,100,0.001206
1000000,1,100,0.055809
1000000000,1,100,59.572967
1000,2,100,0.001072
1000000,2,100,0.032046
1000000000,2,100,43.013223
1000,4,100,0.001058
1000000,4,100,0.030007
1000000000,4,100,39.271146
1000,8,100,0.001349
1000000,8,100,0.045306
1000000000,8,100,53.603642
