array_length,n_threads,insertion_sort_threshold,elapsed_time
10,1,0,0.006222
10,1,10,0.000889
10,1,30,0.000828
10,1,50,0.000874
10,1,80,0.000890
10,1,100,0.000844
10,1,1000,0.000814
10,2,0,0.000997
10,2,10,0.000883
10,2,30,0.000947
10,2,50,0.000908
10,2,80,0.000932
10,2,100,0.000944
10,2,1000,0.000875
10,3,0,0.000969
10,3,10,0.000939
10,3,30,0.001006
10,3,50,0.000961
10,3,80,0.000913
10,3,100,0.000907
10,3,1000,0.001022
10,4,0,0.001018
10,4,10,0.000977
10,4,30,0.001046
10,4,50,0.000895
10,4,80,0.000874
10,4,100,0.001064
10,4,1000,0.000915
10,5,0,0.001081
10,5,10,0.001154
10,5,30,0.000974
10,5,50,0.001004
10,5,80,0.000992
10,5,100,0.001076
10,5,1000,0.001024
10,6,0,0.001205
10,6,10,0.001065
10,6,30,0.001084
10,6,50,0.001186
10,6,80,0.001062
10,6,100,0.001073
10,6,1000,0.001203
10,7,0,0.001212
10,7,10,0.001163
10,7,30,0.001246
10,7,50,0.001112
10,7,80,0.001207
10,7,100,0.001040
10,7,1000,0.000960
10,8,0,0.001264
10,8,10,0.001264
10,8,30,0.001330
10,8,50,0.001175
10,8,80,0.001069
10,8,100,0.001359
10,8,1000,0.001337
100,1,0,0.000974
100,1,10,0.000851
100,1,30,0.000872
100,1,50,0.000903
100,1,80,0.000938
100,1,100,0.000870
100,1,1000,0.000909
100,2,0,0.000894
100,2,10,0.000974
100,2,30,0.001031
100,2,50,0.000985
100,2,80,0.000922
100,2,100,0.000925
100,2,1000,0.001022
100,3,0,0.001030
100,3,10,0.000870
100,3,30,0.000901
100,3,50,0.001183
100,3,80,0.000851
100,3,100,0.000877
100,3,1000,0.000907
100,4,0,0.001023
100,4,10,0.001017
100,4,30,0.000892
100,4,50,0.001003
100,4,80,0.000900
100,4,100,0.000886
100,4,1000,0.000853
100,5,0,0.001041
100,5,10,0.000948
100,5,30,0.001117
100,5,50,0.001012
100,5,80,0.001022
100,5,100,0.001071
100,5,1000,0.001059
100,6,0,0.001307
100,6,10,0.001032
100,6,30,0.001136
100,6,50,0.001008
100,6,80,0.001168
100,6,100,0.001290
100,6,1000,0.001182
100,7,0,0.001242
100,7,10,0.001164
100,7,30,0.001312
100,7,50,0.001262
100,7,80,0.001622
100,7,100,0.001058
100,7,1000,0.001094
100,8,0,0.001056
100,8,10,0.001255
100,8,30,0.001201
100,8,50,0.001030
100,8,80,0.001239
100,8,100,0.001123
100,8,1000,0.001129
1000,1,0,0.001112
1000,1,10,0.000965
1000,1,30,0.000893
1000,1,50,0.000991
1000,1,80,0.000948
1000,1,100,0.000958
1000,1,1000,0.001565
1000,2,0,0.001496
1000,2,10,0.001052
1000,2,30,0.000990
1000,2,50,0.001038
1000,2,80,0.001007
1000,2,100,0.000929
1000,2,1000,0.001295
1000,3,0,0.001565
1000,3,10,0.001145
1000,3,30,0.001188
1000,3,50,0.001062
1000,3,80,0.001038
1000,3,100,0.001152
1000,3,1000,0.001531
1000,4,0,0.001806
1000,4,10,0.001243
1000,4,30,0.001208
1000,4,50,0.001140
1000,4,80,0.001207
1000,4,100,0.001428
1000,4,1000,0.001549
1000,5,0,0.001854
1000,5,10,0.001448
1000,5,30,0.001321
1000,5,50,0.001446
1000,5,80,0.001470
1000,5,100,0.001158
1000,5,1000,0.001818
1000,6,0,0.002484
1000,6,10,0.002141
1000,6,30,0.001835
1000,6,50,0.001413
1000,6,80,0.001350
1000,6,100,0.001321
1000,6,1000,0.001585
1000,7,0,0.001801
1000,7,10,0.001580
1000,7,30,0.001297
1000,7,50,0.001576
1000,7,80,0.001299
1000,7,100,0.001541
1000,7,1000,0.001757
1000,8,0,0.002220
1000,8,10,0.001906
1000,8,30,0.001992
1000,8,50,0.001910
1000,8,80,0.001179
1000,8,100,0.001992
1000,8,1000,0.001791
10000,1,0,0.002744
10000,1,10,0.001852
10000,1,30,0.001674
10000,1,50,0.001842
10000,1,80,0.002110
10000,1,100,0.001806
10000,1,1000,0.004649
10000,2,0,0.005144
10000,2,10,0.002382
10000,2,30,0.001796
10000,2,50,0.001556
10000,2,80,0.001584
10000,2,100,0.001581
10000,2,1000,0.002833
10000,3,0,0.005271
10000,3,10,0.002782
10000,3,30,0.001844
10000,3,50,0.001615
10000,3,80,0.001622
10000,3,100,0.001539
10000,3,1000,0.002609
10000,4,0,0.006031
10000,4,10,0.002821
10000,4,30,0.001978
10000,4,50,0.001696
10000,4,80,0.001694
10000,4,100,0.001542
10000,4,1000,0.002344
10000,5,0,0.007533
10000,5,10,0.003316
10000,5,30,0.002187
10000,5,50,0.001966
10000,5,80,0.001704
10000,5,100,0.001554
10000,5,1000,0.002514
10000,6,0,0.009279
10000,6,10,0.003918
10000,6,30,0.002226
10000,6,50,0.001985
10000,6,80,0.001864
10000,6,100,0.001992
10000,6,1000,0.003095
10000,7,0,0.010499
10000,7,10,0.004089
10000,7,30,0.002801
10000,7,50,0.001941
10000,7,80,0.002159
10000,7,100,0.002251
10000,7,1000,0.002606
10000,8,0,0.011054
10000,8,10,0.004265
10000,8,30,0.002609
10000,8,50,0.002058
10000,8,80,0.002192
10000,8,100,0.001711
10000,8,1000,0.002900
100000,1,0,0.023266
100000,1,10,0.013322
100000,1,30,0.011391
100000,1,50,0.011245
100000,1,80,0.011551
100000,1,100,0.012394
100000,1,1000,0.039263
100000,2,0,0.044723
100000,2,10,0.016610
100000,2,30,0.009858
