array_length,n_threads,insertion_sort_threshold,elapsed_time
10,1,0,0.000910
10,1,10,0.000777
100,1,0,0.000984
100,1,100,0.000916
1000,1,0,0.001113
1000,1,1000,0.001392
10000,1,0,0.002756
10000,1,10000,0.046493
10,1,0,0.000809
10,1,10,0.000832
100,1,0,0.000939
100,1,100,0.000962
1000,1,0,0.001094
1000,1,1000,0.001302
10000,1,0,0.002760
10000,1,10000,0.046385
10,1,0,0.000833
10,1,10,0.000823
100,1,0,0.000977
100,1,100,0.000962
1000,1,0,0.000948
1000,1,1000,0.001318
10000,1,0,0.002905
10000,1,10000,0.047025
10,1,0,0.000979
10,1,10,0.000914
100,1,0,0.000945
100,1,100,0.000939
1000,1,0,0.001095
1000,1,1000,0.001368
10000,1,0,0.002788
10000,1,10000,0.046943
10,1,0,0.000898
10,1,10,0.000831
100,1,0,0.000882
100,1,100,0.000836
1000,1,0,0.001053
1000,1,1000,0.001396
10000,1,0,0.002828
10000,1,10000,0.046010
10,1,0,0.000867
10,1,10,0.000938
100,1,0,0.000916
100,1,100,0.000927
1000,1,0,0.001013
1000,1,1000,0.001393
10000,1,0,0.002951
10000,1,10000,0.046756
10,1,0,0.000901
10,1,10,0.000888
100,1,0,0.000883
100,1,100,0.000969
1000,1,0,0.001055
1000,1,1000,0.001387
10000,1,0,0.002782
10000,1,10000,0.047479
10,1,0,0.000995
10,1,10,0.000947
100,1,0,0.000833
100,1,100,0.000904
1000,1,0,0.001084
1000,1,1000,0.001271
10000,1,0,0.002843
10000,1,10000,0.046936
10,1,0,0.000874
10,1,10,0.000890
100,1,0,0.000995
100,1,100,0.000898
1000,1,0,0.001029
1000,1,1000,0.001274
10000,1,0,0.002834
10000,1,10000,0.046710
10,1,0,0.000870
10,1,10,0.000838
100,1,0,0.000849
100,1,100,0.001005
1000,1,0,0.001060
1000,1,1000,0.001357
10000,1,0,0.002897
10000,1,10000,0.047365
10,1,0,0.000932
10,1,10,0.000889
100,1,0,0.000950
100,1,100,0.000787
1000,1,0,0.001162
1000,1,1000,0.001321
10000,1,0,0.002779
10000,1,10000,0.046039
10,1,0,0.000751
10,1,10,0.000789
100,1,0,0.000822
100,1,100,0.000855
1000,1,0,0.001011
1000,1,1000,0.001438
10000,1,0,0.002769
10000,1,10000,0.046569
10,1,0,0.000856
10,1,10,0.000840
100,1,0,0.000950
100,1,100,0.000964
1000,1,0,0.001202
1000,1,1000,0.001701
10000,1,0,0.002895
10000,1,10000,0.046514
10,1,0,0.000831
10,1,10,0.000807
100,1,0,0.000853
100,1,100,0.000896
1000,1,0,0.001063
1000,1,1000,0.001446
10000,1,0,0.002758
10000,1,10000,0.047145
10,1,0,0.000904
10,1,10,0.000913
100,1,0,0.000890
100,1,100,0.000966
1000,1,0,0.001115
1000,1,1000,0.001273
10000,1,0,0.002731
10000,1,10000,0.046555
10,1,0,0.000928
10,1,10,0.000873
100,1,0,0.000875
100,1,100,0.000938
1000,1,0,0.001100
1000,1,1000,0.001284
10000,1,0,0.002931
10000,1,10000,0.047908
10,1,0,0.000920
10,1,10,0.000790
100,1,0,0.000794
100,1,100,0.000885
1000,1,0,0.001078
1000,1,1000,0.001379
10000,1,0,0.002764
10000,1,10000,0.048099
10,1,0,0.000798
10,1,10,0.001145
100,1,0,0.000814
100,1,100,0.000905
1000,1,0,0.001043
1000,1,1000,0.001347
10000,1,0,0.002785
10000,1,10000,0.048169
10,1,0,0.001225
10,1,10,0.000806
100,1,0,0.000835
100,1,100,0.000866
1000,1,0,0.001118
1000,1,1000,0.001401
10000,1,0,0.006608
10000,1,10000,0.051021
10,1,0,0.000920
10,1,10,0.000929
100,1,0,0.000834
100,1,100,0.000938
1000,1,0,0.001012
1000,1,1000,0.001425
10000,1,0,0.002849
10000,1,10000,0.056939
10,1,0,0.000926
10,1,10,0.000846
100,1,0,0.000912
100,1,100,0.000798
1000,1,0,0.001059
1000,1,1000,0.001356
10000,1,0,0.002941
10000,1,10000,0.051540
10,1,0,0.000918
10,1,10,0.000926
100,1,0,0.000871
100,1,100,0.000889
1000,1,0,0.001004
1000,1,1000,0.001493
10000,1,0,0.004506
10000,1,10000,0.051330
10,1,0,0.000788
10,1,10,0.000854
100,1,0,0.000945
100,1,100,0.001025
1000,1,0,0.001139
1000,1,1000,0.001410
10000,1,0,0.002752
10000,1,10000,0.052077
10,1,0,0.000884
10,1,10,0.000808
100,1,0,0.000888
100,1,100,0.000901
1000,1,0,0.001094
1000,1,1000,0.001443
10000,1,0,0.002972
10000,1,10000,0.053460
10,1,0,0.001154
10,1,10,0.000961
100,1,0,0.000979
100,1,100,0.000899
1000,1,0,0.001043
1000,1,1000,0.001643
10000,1,0,0.005170
10000,1,10000,0.049632
10,1,0,0.000855
10,1,10,0.000865
100,1,0,0.001395
100,1,100,0.001265
1000,1,0,0.001160
1000,1,1000,0.001333
10000,1,0,0.002979
10000,1,10000,0.057835
10,1,0,0.000859
10,1,10,0.000884
100,1,0,0.000811
100,1,100,0.000992
1000,1,0,0.001440
1000,1,1000,0.001418
10000,1,0,0.002977
10000,1,10000,0.048881
10,1,0,0.001035
10,1,10,0.000858
100,1,0,0.001137
100,1,100,0.000939
1000,1,0,0.001020
1000,1,1000,0.001267
10000,1,0,0.002945
10000,1,10000,0.047426
10,1,0,0.001017
10,1,10,0.001032
100,1,0,0.000865
100,1,100,0.000875
1000,1,0,0.001196
1000,1,1000,0.001376
10000,1,0,0.002959
10000,1,10000,0.048162
10,1,0,0.000832
10,1,10,0.000903
100,1,0,0.000982
100,1,100,0.000969
1000,1,0,0.001043
1000,1,1000,0.001758
10000,1,0,0.003338
10000,1,10000,0.047410
10,1,0,0.000851
10,1,10,0.000800
100,1,0,0.000940
100,1,100,0.000971
1000,1,0,0.001124
1000,1,1000,0.001373
10000,1,0,0.002932
10000,1,10000,0.047692
10,1,0,0.000830
10,1,10,0.000913
100,1,0,0.000826
100,1,100,0.000886
1000,1,0,0.001014
1000,1,1000,0.001370
10000,1,0,0.002963
10000,1,10000,0.048429
10,1,0,0.000814
10,1,10,0.000910
100,1,0,0.000812
100,1,100,0.000779
1000,1,0,0.001018
1000,1,1000,0.001285
10000,1,0,0.003011
10000,1,10000,0.047813
10,1,0,0.000987
10,1,10,0.000859
100,1,0,0.000969
100,1,100,0.000917
1000,1,0,0.001082
1000,1,1000,0.001393
10000,1,0,0.003724
10000,1,10000,0.047472
10,1,0,0.000844
10,1,10,0.000958
100,1,0,0.000900
100,1,100,0.000832
1000,1,0,0.001069
1000,1,1000,0.001314
10000,1,0,0.002944
10000,1,10000,0.048915
10,1,0,0.000800
10,1,10,0.000815
100,1,0,0.000979
100,1,100,0.000910
1000,1,0,0.001219
1000,1,1000,0.001527
10000,1,0,0.002925
10000,1,10000,0.048676
10,1,0,0.000820
10,1,10,0.000796
100,1,0,0.000891
100,1,100,0.000907
1000,1,0,0.001079
1000,1,1000,0.001419
10000,1,0,0.003271
10000,1,10000,0.048185
10,1,0,0.000848
10,1,10,0.000869
100,1,0,0.000870
100,1,100,0.000870
1000,1,0,0.001135
1000,1,1000,0.001346
10000,1,0,0.002746
10000,1,10000,0.050243
10,1,0,0.000822
10,1,10,0.001045
100,1,0,0.000872
100,1,100,0.000799
1000,1,0,0.001104
1000,1,1000,0.001332
10000,1,0,0.002931
10000,1,10000,0.050091
10,1,0,0.000923
10,1,10,0.000808
100,1,0,0.000840
100,1,100,0.000885
1000,1,0,0.001029
1000,1,1000,0.001345
10000,1,0,0.003768
10000,1,10000,0.052376
10,1,0,0.000822
10,1,10,0.001234
100,1,0,0.001362
100,1,100,0.001094
1000,1,0,0.001294
1000,1,1000,0.001382
10000,1,0,0.003592
10000,1,10000,0.062607
10,1,0,0.000928
10,1,10,0.000842
100,1,0,0.000839
100,1,100,0.000824
1000,1,0,0.001129
1000,1,1000,0.001390
10000,1,0,0.002956
10000,1,10000,0.050504
10,1,0,0.000823
10,1,10,0.000910
100,1,0,0.001020
100,1,100,0.000884
1000,1,0,0.001049
1000,1,1000,0.001341
10000,1,0,0.002994
10000,1,10000,0.049695
10,1,0,0.000864
10,1,10,0.000873
100,1,0,0.001004
100,1,100,0.001147
1000,1,0,0.001309
1000,1,1000,0.001399
10000,1,0,0.003701
10000,1,10000,0.047895
10,1,0,0.000784
10,1,10,0.000853
100,1,0,0.000827
100,1,100,0.000812
1000,1,0,0.001075
1000,1,1000,0.001448
10000,1,0,0.003218
10000,1,10000,0.046720
10,1,0,0.000921
10,1,10,0.000825
100,1,0,0.000907
100,1,100,0.000869
1000,1,0,0.001024
1000,1,1000,0.001365
10000,1,0,0.002800
10000,1,10000,0.046178
10,1,0,0.000833
10,1,10,0.000807
100,1,0,0.000959
100,1,100,0.000804
1000,1,0,0.000995
1000,1,1000,0.001372
10000,1,0,0.002925
10000,1,10000,0.046261
10,1,0,0.000821
10,1,10,0.000811
100,1,0,0.000848
100,1,100,0.000883
1000,1,0,0.000979
1000,1,1000,0.001262
10000,1,0,0.002873
10000,1,10000,0.047136
10,1,0,0.000848
10,1,10,0.000947
100,1,0,0.000862
100,1,100,0.000866
1000,1,0,0.001027
1000,1,1000,0.001429
10000,1,0,0.002772
10000,1,10000,0.048305
10,1,0,0.000857
10,1,10,0.000906
100,1,0,0.000924
100,1,100,0.000914
1000,1,0,0.001028
1000,1,1000,0.001289
10000,1,0,0.002963
10000,1,10000,0.046191
10,1,0,0.000873
10,1,10,0.000825
100,1,0,0.001134
100,1,100,0.000982
1000,1,0,0.001139
1000,1,1000,0.002001
10000,1,0,0.002779
10000,1,10000,0.046578
10,1,0,0.001128
10,1,10,0.000883
100,1,0,0.000881
100,1,100,0.000803
1000,1,0,0.001144
1000,1,1000,0.001369
10000,1,0,0.003139
10000,1,10000,0.048371
10,1,0,0.000807
10,1,10,0.000919
100,1,0,0.000914
100,1,100,0.001038
1000,1,0,0.001184
1000,1,1000,0.001490
10000,1,0,0.002819
10000,1,10000,0.046470
10,1,0,0.000831
10,1,10,0.000809
100,1,0,0.000845
100,1,100,0.000859
1000,1,0,0.001010
1000,1,1000,0.001445
10000,1,0,0.004305
10000,1,10000,0.050624
10,1,0,0.000923
10,1,10,0.000842
100,1,0,0.000800
100,1,100,0.000835
1000,1,0,0.001139
1000,1,1000,0.001375
10000,1,0,0.002821
10000,1,10000,0.049793
10,1,0,0.000922
10,1,10,0.000816
100,1,0,0.000849
100,1,100,0.000880
1000,1,0,0.001004
1000,1,1000,0.001458
10000,1,0,0.002962
10000,1,10000,0.048010
10,1,0,0.000889
10,1,10,0.000844
100,1,0,0.000833
100,1,100,0.000838
1000,1,0,0.000985
1000,1,1000,0.001311
10000,1,0,0.003008
10000,1,10000,0.048704
10,1,0,0.000825
10,1,10,0.000894
100,1,0,0.000848
100,1,100,0.000921
1000,1,0,0.001177
1000,1,1000,0.001440
10000,1,0,0.003053
10000,1,10000,0.058281
10,1,0,0.000834
10,1,10,0.001147
100,1,0,0.000897
100,1,100,0.000896
1000,1,0,0.001089
1000,1,1000,0.001297
10000,1,0,0.002948
10000,1,10000,0.050864
10,1,0,0.000823
10,1,10,0.000792
100,1,0,0.000990
100,1,100,0.000851
1000,1,0,0.001023
1000,1,1000,0.001316
10000,1,0,0.002933
10000,1,10000,0.056809
10,1,0,0.000855
10,1,10,0.000924
100,1,0,0.000847
100,1,100,0.001036
1000,1,0,0.000996
1000,1,1000,0.001704
10000,1,0,0.003076
10000,1,10000,0.049699
10,1,0,0.000855
10,1,10,0.000793
100,1,0,0.000813
100,1,100,0.000924
1000,1,0,0.001038
1000,1,1000,0.001347
10000,1,0,0.002756
10000,1,10000,0.049011
10,1,0,0.000892
10,1,10,0.000924
100,1,0,0.001016
100,1,100,0.000890
1000,1,0,0.000966
1000,1,1000,0.001394
10000,1,0,0.002821
10000,1,10000,0.049315
10,1,0,0.001122
10,1,10,0.000860
100,1,0,0.001451
100,1,100,0.001112
1000,1,0,0.001413
1000,1,1000,0.001365
10000,1,0,0.002759
10000,1,10000,0.048159
10,1,0,0.000881
