array_length,n_threads,insertion_sort_threshold,elapsed_time
1000,1,10,0.000894
1000,1,100,0.000853
1000,2,10,0.001029
1000,2,100,0.000993
1000,4,10,0.001385
1000,4,100,0.001081
1000,8,10,0.001620
1000,8,100,0.001637
1000000,1,10,0.147079
1000000,1,100,0.132390
1000000,2,10,0.186431
1000000,2,100,0.080244
1000000,4,10,0.180731
1000000,4,100,0.054763
1000000,8,10,0.287135
1000000,8,100,0.048497
1000000000,1,10,223.230588
1000000000,1,100,214.553305
1000000000,2,10,248.092367
1000000000,2,100,125.410547
1000000000,4,10,226.987460
1000000000,4,100,77.029760
1000000000,8,10,351.322911
1000000000,8,100,63.838174
1000,1,10,0.000907
1000,1,100,0.000882
1000,2,10,0.001190
1000,2,100,0.000998
1000,4,10,0.001069
1000,4,100,0.001195
1000,8,10,0.001666
1000,8,100,0.001643
1000000,1,10,0.146605
1000000,1,100,0.131636
1000000,2,10,0.178929
1000000,2,100,0.085151
1000000,4,10,0.182007
1000000,4,100,0.053807
1000000,8,10,0.290799
1000000,8,100,0.048248
1000000000,1,10,213.159239
1000000000,1,100,193.492745
1000000000,2,10,234.514421
1000000000,2,100,118.304187
1000000000,4,10,226.136634
1000000000,4,100,77.386098
1000000000,8,10,353.912739
1000000000,8,100,63.486054
1000,1,10,0.000945
1000,1,100,0.000903
1000,2,10,0.001048
1000,2,100,0.000988
1000,4,10,0.001255
1000,4,100,0.001045
1000,8,10,0.001390
1000,8,100,0.001235
1000000,1,10,0.179199
1000000,1,100,0.154671
1000000,2,10,0.193167
1000000,2,100,0.088085
1000000,4,10,0.183058
1000000,4,100,0.055349
1000000,8,10,0.293143
1000000,8,100,0.050394
1000000000,1,10,219.278249
1000000000,1,100,199.045596
1000000000,2,10,237.732064
1000000000,2,100,127.019243
1000000000,4,10,225.517313
1000000000,4,100,77.246357
1000000000,8,10,366.406955
1000000000,8,100,63.973552
1000,1,10,0.000858
1000,1,100,0.000858
1000,2,10,0.001122
1000,2,100,0.000987
1000,4,10,0.001470
1000,4,100,0.001284
1000,8,10,0.001463
1000,8,100,0.001856
1000000,1,10,0.169390
1000000,1,100,0.156952
1000000,2,10,0.191839
1000000,2,100,0.098569
1000000,4,10,0.180214
1000000,4,100,0.056748
1000000,8,10,0.299693
1000000,8,100,0.048749
1000000000,1,10,215.617262
1000000000,1,100,194.845627
1000000000,2,10,234.297420
1000000000,2,100,119.519427
1000000000,4,10,226.974865
1000000000,4,100,77.394584
1000000000,8,10,354.820204
1000000000,8,100,63.746471
1000,1,10,0.000934
1000,1,100,0.000876
1000,2,10,0.001137
1000,2,100,0.001096
1000,4,10,0.001610
1000,4,100,0.001136
1000,8,10,0.001767
1000,8,100,0.001705
1000000,1,10,0.163808
1000000,1,100,0.156716
1000000,2,10,0.206171
1000000,2,100,0.091519
1000000,4,10,0.183342
1000000,4,100,0.057890
1000000,8,10,0.299863
1000000,8,100,0.051416
1000000000,1,10,215.909106
1000000000,1,100,195.809042
1000000000,2,10,233.564228
1000000000,2,100,118.795774
1000000000,4,10,226.521588
1000000000,4,100,76.841175
1000000000,8,10,360.373979
1000000000,8,100,64.275337
1000,1,0,0.005528
1000000,1,0,0.248730
1000000000,1,0,332.918087
1000,2,0,0.001749
1000000,2,0,0.552550
1000000000,2,0,582.943895
1000,4,0,0.001585
1000000,4,0,0.611132
1000000000,4,0,694.919133
1000,8,0,0.002128
1000000,8,0,1.108572
1000000000,8,0,1348.054575
1000,1,0,0.001087
1000000,1,0,0.316490
1000000000,1,0,339.635603
1000,2,0,0.001469
1000000,2,0,0.544145
1000000000,2,0,604.899603
1000,4,0,0.001480
1000000,4,0,0.600067
1000000000,4,0,712.573589
1000,8,0,0.003262
1000000,8,0,1.129380
1000000000,8,0,1383.868629
1000,1,0,0.001005
1000000,1,0,0.253892
1000000000,1,0,337.392054
1000,2,0,0.001785
1000000,2,0,0.530534
1000000000,2,0,575.487855
1000,4,0,0.002188
1000000,4,0,0.671081
1000000000,4,0,687.583005
1000,8,0,0.001772
1000000,8,0,1.141097
1000000000,8,0,1359.764128
1000,1,0,0.001001
1000000,1,0,0.256571
1000000000,1,0,334.574881
1000,2,0,0.001491
1000000,2,0,0.531368
1000000000,2,0,571.930115
1000,4,0,0.002044
1000000,4,0,0.692145
1000000000,4,0,698.062516
1000,8,0,0.002435
1000000,8,0,1.108028
1000000000,8,0,1347.889610
1000,1,0,0.001382
1000000,1,0,0.332105
1000000000,1,0,340.608224
1000,2,0,0.001755
1000000,2,0,0.523365
1000000000,2,0,572.771392
1000,4,0,0.001720
1000000,4,0,0.645553
1000000000,4,0,705.821818
1000,8,0,0.002265
1000000,8,0,1.151305
1000000000,8,0,1365.315664
